target,split_id,split_strategy,profile,profile_role,method,train_rows,val_rows,test_rows,train_rmse,val_rmse,test_rmse,mean_val_rmse,mean_test_rmse,val_gain_vs_mean,test_gain_vs_mean,relative_val_gain,selected_admissible,selected_negative_control
exfoliation_en,phase132_registered_split,group_hash_by_chemistry_family_key,composition_descriptors,admissible,knn,403,124,109,89.330463890,102.848326301,208.358110547,104.781107429,218.749457654,1.932781128,10.391347107,0.018445893,false,false
exfoliation_en,phase132_registered_split,group_hash_by_chemistry_family_key,composition_descriptors,admissible,extra_trees,403,124,109,8.262697987,115.488754899,171.333569577,104.781107429,218.749457654,-10.707647470,47.415888077,-0.102190631,false,false
exfoliation_en,phase132_registered_split,group_hash_by_chemistry_family_key,composition_descriptors,admissible,hist_gradient_boosting,403,124,109,39.232565134,110.157180456,205.828310635,104.781107429,218.749457654,-5.376073027,12.921147019,-0.051307656,false,false
exfoliation_en,phase132_registered_split,group_hash_by_chemistry_family_key,common_element_fractions,admissible,knn,403,124,109,98.137913631,112.504262020,225.669788229,104.781107429,218.749457654,-7.723154591,-6.920330576,-0.073707511,false,false
exfoliation_en,phase132_registered_split,group_hash_by_chemistry_family_key,common_element_fractions,admissible,extra_trees,403,124,109,56.733141909,157.927048977,235.979507154,104.781107429,218.749457654,-53.145941548,-17.230049501,-0.507209199,false,false
exfoliation_en,phase132_registered_split,group_hash_by_chemistry_family_key,common_element_fractions,admissible,hist_gradient_boosting,403,124,109,99.339284698,117.578074993,222.255983017,104.781107429,218.749457654,-12.796967564,-3.506525364,-0.122130486,false,false
exfoliation_en,phase132_registered_split,group_hash_by_chemistry_family_key,lattice_descriptors,admissible,knn,403,124,109,91.859914313,103.835379486,216.490279128,104.781107429,218.749457654,0.945727943,2.259178525,0.009025749,false,false
exfoliation_en,phase132_registered_split,group_hash_by_chemistry_family_key,lattice_descriptors,admissible,extra_trees,403,124,109,0.000000000,101.800461973,196.349203440,104.781107429,218.749457654,2.980645456,22.400254213,0.028446402,false,false
exfoliation_en,phase132_registered_split,group_hash_by_chemistry_family_key,lattice_descriptors,admissible,hist_gradient_boosting,403,124,109,28.689730665,112.056556748,204.934204713,104.781107429,218.749457654,-7.275449319,13.815252940,-0.069434744,false,false
exfoliation_en,phase132_registered_split,group_hash_by_chemistry_family_key,composition_lattice_descriptors,admissible,knn,403,124,109,86.726166927,101.827267075,213.290163056,104.781107429,218.749457654,2.953840354,5.459294597,0.028190582,false,false
exfoliation_en,phase132_registered_split,group_hash_by_chemistry_family_key,composition_lattice_descriptors,admissible,extra_trees,403,124,109,0.000000000,96.947128465,179.919309895,104.781107429,218.749457654,7.833978964,38.830147758,0.074765186,true,false
exfoliation_en,phase132_registered_split,group_hash_by_chemistry_family_key,composition_lattice_descriptors,admissible,hist_gradient_boosting,403,124,109,28.256286488,97.271066169,193.931790096,104.781107429,218.749457654,7.510041260,24.817667558,0.071673620,false,false
exfoliation_en,phase132_registered_split,group_hash_by_chemistry_family_key,composition_hash_shortcut,negative_control,knn,403,124,109,101.606629788,107.247057149,221.414042303,104.781107429,218.749457654,-2.465949720,-2.664584650,-0.023534297,false,true
exfoliation_en,phase132_registered_split,group_hash_by_chemistry_family_key,chemistry_family_shortcut,negative_control,knn,403,124,109,99.363190790,109.360703496,222.975051735,104.781107429,218.749457654,-4.579596067,-4.225594082,-0.043706315,false,false
exfoliation_en,phase132_registered_split,group_hash_by_chemistry_family_key,dominant_element_shortcut,negative_control,knn,403,124,109,105.219383034,111.450991688,220.919265099,104.781107429,218.749457654,-6.669884259,-2.169807446,-0.063655409,false,false
exfoliation_en,phase132_registered_split,group_hash_by_chemistry_family_key,dominant_element_shortcut,negative_control,extra_trees,403,124,109,97.444381664,114.511694357,219.786566129,104.781107429,218.749457654,-9.730586928,-1.037108476,-0.092865853,false,false
exfoliation_en,chemistry_family_hash_1,group_hash_by_chemistry_family_key,composition_descriptors,admissible,knn,357,139,140,119.689004665,118.297357872,136.174953866,122.718477564,140.990857312,4.421119693,4.815903446,0.036026520,false,false
exfoliation_en,chemistry_family_hash_1,group_hash_by_chemistry_family_key,composition_descriptors,admissible,extra_trees,357,139,140,7.633579269,119.507681177,131.831227773,122.718477564,140.990857312,3.210796388,9.159629539,0.026163920,false,false
exfoliation_en,chemistry_family_hash_1,group_hash_by_chemistry_family_key,composition_descriptors,admissible,hist_gradient_boosting,357,139,140,61.684992259,110.907542884,116.582122198,122.718477564,140.990857312,11.810934680,24.408735114,0.096244143,false,false
exfoliation_en,chemistry_family_hash_1,group_hash_by_chemistry_family_key,common_element_fractions,admissible,knn,357,139,140,125.839185148,141.345707379,138.531642820,122.718477564,140.990857312,-18.627229815,2.459214492,-0.151788306,false,false
exfoliation_en,chemistry_family_hash_1,group_hash_by_chemistry_family_key,common_element_fractions,admissible,extra_trees,357,139,140,65.480135501,153.994769652,155.242880614,122.718477564,140.990857312,-31.276292087,-14.252023302,-0.254862126,false,false
exfoliation_en,chemistry_family_hash_1,group_hash_by_chemistry_family_key,common_element_fractions,admissible,hist_gradient_boosting,357,139,140,125.283540706,130.174823313,145.684006562,122.718477564,140.990857312,-7.456345749,-4.693149250,-0.060759764,false,false
exfoliation_en,chemistry_family_hash_1,group_hash_by_chemistry_family_key,lattice_descriptors,admissible,knn,357,139,140,120.424669780,114.810790567,136.904614626,122.718477564,140.990857312,7.907686998,4.086242686,0.064437623,false,false
