split_id,profile,method,role,split,rmse,mae,r2,n_rows
phase158_registered_mix_design,train_mean,mean,mean_baseline,train,16.529353,13.311405,0,652
phase158_registered_mix_design,train_mean,mean,mean_baseline,val,16.952816,13.469992,-0.030522662,186
phase158_registered_mix_design,train_mean,mean,mean_baseline,test,17.089866,13.815689,-0.0028116138,192
phase158_registered_mix_design,raw_mix_age,knn,admissible,train,1.1357661,0.091938466,0.99527865,652
phase158_registered_mix_design,raw_mix_age,knn,admissible,val,8.3050904,6.1814456,0.7526781,186
phase158_registered_mix_design,raw_mix_age,knn,admissible,test,8.740284,6.3735799,0.73770312,192
phase158_registered_mix_design,raw_mix_age,extra_trees,admissible,train,2.2727517,1.3538994,0.98109432,652
phase158_registered_mix_design,raw_mix_age,extra_trees,admissible,val,5.9914062,4.5642247,0.87128434,186
phase158_registered_mix_design,raw_mix_age,extra_trees,admissible,test,6.2682935,4.1931147,0.86509107,192
phase158_registered_mix_design,raw_mix_age,hist_gradient_boosting,admissible,train,2.5355324,1.5936248,0.97646974,652
phase158_registered_mix_design,raw_mix_age,hist_gradient_boosting,admissible,val,6.4965505,4.7666417,0.84866496,186
phase158_registered_mix_design,raw_mix_age,hist_gradient_boosting,admissible,test,6.1089686,4.2266667,0.87186203,192
phase158_registered_mix_design,binder_ratio_age_core,knn,admissible,train,1.1357661,0.091937625,0.99527865,652
phase158_registered_mix_design,binder_ratio_age_core,knn,admissible,val,6.6546686,4.9209554,0.8412087,186
phase158_registered_mix_design,binder_ratio_age_core,knn,admissible,test,6.7306929,4.705508,0.84445302,192
phase158_registered_mix_design,binder_ratio_age_core,extra_trees,admissible,train,2.463191,1.483732,0.97779328,652
phase158_registered_mix_design,binder_ratio_age_core,extra_trees,admissible,val,6.0967189,4.5518103,0.86671963,186
phase158_registered_mix_design,binder_ratio_age_core,extra_trees,admissible,test,5.5755503,3.8502477,0.89326238,192
phase158_registered_mix_design,binder_ratio_age_core,hist_gradient_boosting,admissible,train,2.6033645,1.6874475,0.97519391,652
phase158_registered_mix_design,binder_ratio_age_core,hist_gradient_boosting,admissible,val,6.2036229,4.571383,0.86200459,186
phase158_registered_mix_design,binder_ratio_age_core,hist_gradient_boosting,admissible,test,5.550333,3.7883659,0.89422571,192
phase158_registered_mix_design,full_concrete_features,knn,admissible,train,1.1357661,0.091939188,0.99527865,652
phase158_registered_mix_design,full_concrete_features,knn,admissible,val,6.7308925,4.9787353,0.83755021,186
phase158_registered_mix_design,full_concrete_features,knn,admissible,test,7.4104394,5.0165712,0.81144851,192
phase158_registered_mix_design,full_concrete_features,extra_trees,admissible,train,1.9352565,1.0465328,0.98629228,652
phase158_registered_mix_design,full_concrete_features,extra_trees,admissible,val,5.9254278,4.357274,0.87410361,186
phase158_registered_mix_design,full_concrete_features,extra_trees,admissible,test,5.6492298,3.8430216,0.89042272,192
phase158_registered_mix_design,full_concrete_features,hist_gradient_boosting,admissible,train,2.1724922,1.3141322,0.98272553,652
phase158_registered_mix_design,full_concrete_features,hist_gradient_boosting,admissible,val,5.6651893,4.3512146,0.88491925,186
phase158_registered_mix_design,full_concrete_features,hist_gradient_boosting,admissible,test,5.366378,3.5278049,0.90112089,192
phase158_registered_mix_design,age_only_control,knn,shortcut_control,train,15.47298,12.773385,0.12373338,652
phase158_registered_mix_design,age_only_control,knn,shortcut_control,val,14.301282,11.829632,0.26662889,186
phase158_registered_mix_design,age_only_control,knn,shortcut_control,test,15.340639,12.758417,0.19196731,192
phase158_registered_mix_design,age_only_control,extra_trees,shortcut_control,train,12.782092,10.173816,0.40201237,652
phase158_registered_mix_design,age_only_control,extra_trees,shortcut_control,val,13.040831,10.010806,0.39020428,186
phase158_registered_mix_design,age_only_control,extra_trees,shortcut_control,test,13.017068,10.091303,0.41820711,192
phase158_registered_mix_design,coarse_mix_presence_control,knn,shortcut_control,train,1.8579897,0.40299225,0.98736501,652
phase158_registered_mix_design,coarse_mix_presence_control,knn,shortcut_control,val,8.6388452,6.5891093,0.73240054,186
phase158_registered_mix_design,coarse_mix_presence_control,knn,shortcut_control,test,8.9015772,6.7770356,0.72793294,192
phase158_registered_mix_design,coarse_mix_presence_control,extra_trees,shortcut_control,train,5.6761159,4.2593613,0.88207909,652
phase158_registered_mix_design,coarse_mix_presence_control,extra_trees,shortcut_control,val,8.1196411,6.0511099,0.76359998,186
phase158_registered_mix_design,coarse_mix_presence_control,extra_trees,shortcut_control,test,8.2132992,6.356615,0.76837932,192
phase158_registered_mix_design,mix_design_hash_control,knn,shortcut_control,train,1.1357661,0.091938794,0.99527865,652
phase158_registered_mix_design,mix_design_hash_control,knn,shortcut_control,val,13.829768,10.515521,0.31419025,186
phase158_registered_mix_design,mix_design_hash_control,knn,shortcut_control,test,16.224861,12.728703,0.096134141,192
phase158_registered_mix_design,mix_design_hash_control,extra_trees,shortcut_control,train,9.7112127,7.5837952,0.65482825,652
